Refcode,largest_cavity_diameter,pore_limiting_diameter,largest_included_sphere_along_free_sphere_path,Unitcell_volume,Density_g/cm3,ASA_m^2/cm^3,ASA_m^2/g,NASA_m^2/cm^3,NASA_m^2/g,POAV_A^3,POAV_Volume_fraction,POAV_cm^3/g,PONAV_A^3,PONAV_Volume_fraction,PONAV_cm^3/g
PIJHEW,3.85396,1.98876,3.85396,651.708,2.62663,0.0,0.0,448.755,170.848,0.0,0.0,0.0,106.385,0.16324,0.062148
NONWIZ,2.11002,1.08123,2.07434,2321.28,2.02754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GEYSOS,3.38223,2.2986,3.1834,1234.68,1.52785,0.0,0.0,179.019,117.17,0.0,0.0,0.0,84.724,0.06862,0.0449128
IKOLUP,1.75129,0.97588,1.75129,633.279,2.02336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CUGRUS,2.12537,1.36789,2.12537,510.197,2.00327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OMAREZ,2.48715,0.80669,2.47656,690.009,2.05953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CUGSIH,1.74851,1.1716,1.60763,1216.36,2.57407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFIRAT,2.42513,1.95785,2.39906,2857.41,1.45792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUHZOX,4.46307,3.72375,4.46307,2483.23,1.71279,618.86,361.316,0.0,0.0,348.497,0.14034,0.0819363,0.0,0.0,0.0
EDIMUZ,2.94568,1.07907,2.94568,956.124,2.05451,0.0,0.0,100.397,48.8665,0.0,0.0,0.0,70.8297,0.07408,0.0360573
CUGSON,1.60229,0.89668,1.59257,595.611,2.62838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMIQOG,1.67717,0.79851,1.60057,2626.3,1.83644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEGVOG,1.85356,0.89552,1.83091,2420.49,2.79115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GIJKEP,4.34535,3.55407,4.34535,2410.32,1.60623,583.459,363.248,0.0,0.0,320.911,0.13314,0.0828899,0.0,0.0,0.0
CEDHEZ,2.11618,1.24049,2.11129,1178.59,1.92007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CUGSUT,1.64604,1.1137,1.63608,365.424,2.30574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
