Refcode,largest_cavity_diameter,pore_limiting_diameter,largest_included_sphere_along_free_sphere_path,Unitcell_volume,Density_g/cm3,ASA_m^2/cm^3,ASA_m^2/g,NASA_m^2/cm^3,NASA_m^2/g,POAV_A^3,POAV_Volume_fraction,POAV_cm^3/g,PONAV_A^3,PONAV_Volume_fraction,PONAV_cm^3/g
CAFZER,3.02602,1.20079,3.02084,5081.46,3.01492,0.0,0.0,16.3854,5.43477,0.0,0.0,0.0,21.1389,0.00416,0.00137981
CIGXOI,4.21395,3.09118,4.09217,2247.55,1.58788,1301.96,819.932,0.0,0.0,612.728,0.27262,0.171688,0.0,0.0,0.0
CESYEF01,3.18076,2.7668,3.18076,668.633,2.28452,519.101,227.225,0.0,0.0,94.8522,0.14186,0.0620962,0.0,0.0,0.0
CEGKAA,3.27609,1.17782,3.27591,1495.07,1.84011,0.0,0.0,95.961,52.1495,0.0,0.0,0.0,59.9522,0.0401,0.0217921
CUWNEO,2.0978,1.02559,2.07897,2802.21,1.97262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CABNEB,3.35154,1.35658,2.64361,4163.87,1.99154,0.0,0.0,65.7823,33.0309,0.0,0.0,0.0,95.436,0.02292,0.0115087
CECMIJ,1.94506,1.1029,1.89151,977.008,3.02077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CUZZUU,1.45096,0.26604,0.93113,4443.15,9.86335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CONWEI,2.28787,1.14968,2.27904,995.442,2.03584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CITZOW,2.899,1.25277,2.77872,2011.93,1.70086,0.0,0.0,6.17544,3.63077,0.0,0.0,0.0,25.3905,0.01262,0.00741977
CESYEF,3.28814,2.88315,3.28814,685.439,2.2285,598.647,268.632,0.0,0.0,101.884,0.14864,0.0666995,0.0,0.0,0.0
EYEVOU,2.78769,1.36162,2.78553,4400.97,1.63732,0.0,0.0,3.18531,1.94545,0.0,0.0,0.0,18.3961,0.00418,0.00255296
EXEKOI,2.50327,1.22219,1.91004,2200.39,1.70352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMAYUM,1.80941,0.9989,1.7916,1530.75,2.50785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIDKEJ,1.6978,0.8317,1.69276,804.765,3.16866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DUVZEB,2.48434,1.18386,2.36105,1865.62,2.05102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELACID,1.66099,0.99606,1.66099,592.341,1.96882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DULWIR,1.4586,0.98337,1.4586,277.918,2.80763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
